timestamp,iso_date,strategy,submode,action,confidence,price_y,stake,base_balance,result,settled_balance,duration_sec,reason
1789059070095,2026-09-10T11:51:10,AUTO_ADAPTIVE,CONSERVATIVE,SELL,1.00,1265.00,1.00,44961812.48,LOSS,44961812.48,63,"SIN ACREDITACIÓN TRAS 62s (Diff=0.0 -> Pérdida)"
1789059603561,2026-09-10T12:00:03,AUTO_ADAPTIVE,CONSERVATIVE,SELL,1.00,1084.33,2.00,44961812.48,LOSS,44961812.48,62,"SIN ACREDITACIÓN TRAS 62s (Diff=0.0 -> Pérdida)"
1789063544031,2026-09-10T13:05:44,AUTO_ADAPTIVE,CONSERVATIVE,SELL,1.00,857.17,1.00,44961812.48,LOSS,44861808.64,62,"SALDO (-) Pérdida debitada por Binomo: Diff=-100003.83999999613 COP"
1789063863327,2026-09-10T13:11:03,AUTO_ADAPTIVE,CONSERVATIVE,BUY,1.00,792.50,2.00,44861808.64,WIN,44943810.56,62,"SALDO (+) Ganancia acreditada por Binomo: Diff=+82001.92000000179 COP"
1789076998828,2026-09-10T16:49:58,AUTO_ADAPTIVE,YOLO,SELL,1.00,1302.75,1.00,44943810.56,LOSS,44843811.84,62,"SALDO (-) Pérdida debitada por Binomo: Diff=-99998.71999999881 COP"
1789077243293,2026-09-10T16:54:03,AUTO_ADAPTIVE,YOLO,SELL,1.00,1552.50,2.00,45025812.48,TIE,45025812.48,60,"ORDEN NO PROCESADA (Diff=0.0 -> Saldo inalterado)"
1789077482877,2026-09-10T16:58:02,AUTO_ADAPTIVE,YOLO,SELL,1.00,1173.00,2.00,44925808.64,TIE,44925808.64,63,"ORDEN NO PROCESADA (Diff=0.0 -> Saldo inalterado)"
1789077603692,2026-09-10T17:00:03,AUTO_ADAPTIVE,YOLO,SELL,1.00,1825.00,2.00,44925808.64,TIE,44925808.64,61,"ORDEN NO PROCESADA (Diff=0.0 -> Saldo inalterado)"
1789077902182,2026-09-10T17:05:02,AUTO_ADAPTIVE,YOLO,BUY,1.00,1700.50,2.00,44925808.64,TIE,44925808.64,59,"ORDEN NO PROCESADA (Diff=0.0 -> Saldo inalterado)"
1789078019848,2026-09-10T17:06:59,AUTO_ADAPTIVE,YOLO,BUY,1.00,1489.00,2.00,44925808.64,TIE,44925808.64,62,"ORDEN NO PROCESADA (Diff=0.0 -> Saldo inalterado)"
1789080242967,2026-09-10T17:44:02,AUTO_ADAPTIVE,YOLO,SELL,1.00,1731.00,1.00,44925808.64,LOSS,44825809.92,62,"SALDO (-) Pérdida debitada por Binomo: Diff=-99998.71999999881 COP"
1789080422615,2026-09-10T17:47:02,AUTO_ADAPTIVE,YOLO,SELL,1.00,1592.75,2.00,44825809.92,WIN,44907811.84,59,"SALDO (+) Ganancia acreditada por Binomo: Diff=+82001.92000000179 COP"
1789080600323,2026-09-10T17:50:00,AUTO_ADAPTIVE,YOLO,SELL,1.00,1682.00,1.00,1.00,WIN,44907811.84,63,"SALDO (+) Ganancia acreditada por Binomo: Diff=+4.490781084E7 COP"
1789080842694,2026-09-10T17:54:02,AUTO_ADAPTIVE,YOLO,SELL,1.00,1638.50,1.00,44907811.84,WIN,44989808.64,54,"SALDO (+) Ganancia acreditada por Binomo: Diff=+81996.79999999702 COP"
1789081023693,2026-09-10T17:57:03,AUTO_ADAPTIVE,YOLO,SELL,1.00,1731.00,1.00,44989808.64,LOSS,44889809.92,60,"SALDO (-) Pérdida debitada por Binomo: Diff=-99998.71999999881 COP"
1789081143680,2026-09-10T17:59:03,AUTO_ADAPTIVE,YOLO,BUY,1.00,1597.00,2.00,44889809.92,WIN,44971811.84,61,"SALDO (+) Ganancia acreditada por Binomo: Diff=+82001.92000000179 COP"
1789081323498,2026-09-10T18:02:03,AUTO_ADAPTIVE,YOLO,BUY,1.00,1471.50,1.00,44971811.84,WIN,45053808.64,59,"SALDO (+) Ganancia acreditada por Binomo: Diff=+81996.79999999702 COP"
